,Annotator 2 - Empathy,Annotator 3 - Empathy
0,2,2
1,2,3
2,2,3
3,4,4
4,2,4
5,4,4
6,2,1
7,3,3
8,4,4
9,2,4
10,2,3
11,2,4
12,3,5
13,2,4
14,2,5
15,3,2
16,4,4
17,2,4
18,4,4
19,2,3
20,4,5
21,4,3
22,3,3
23,4,4
24,2,4
25,2,3
26,2,3
27,4,3
28,4,3
29,4,3
30,3,4
31,1,3
32,2,3
33,2,2
34,3,2
35,2,2
36,2,2
37,2,2
38,2,4
39,3,4
40,4,4
41,4,5
42,4,5
43,4,4
44,4,4
45,3,3
46,2,2
47,2,2
48,4,4
49,4,5
50,4,5
51,3,4
52,4,3
53,3,4
54,2,2
55,2,3
56,4,4
57,2,3
58,2,3
59,2,2
60,4,3
61,4,3
62,4,3
63,2,2
64,2,2
65,2,3
66,4,2
67,4,2
68,5,2
69,2,3
70,2,3
71,2,3
72,2,3
73,2,3
74,2,3
75,4,3
76,2,3
77,2,3
78,2,3
79,2,3
80,2,3
81,2,3
82,4,2
83,4,4
84,2,2
85,2,3
86,4,5
87,2,3
88,2,3
89,2,3
90,4,3
91,4,3
92,4,3
93,2,3
94,2,3
95,2,4
96,4,5
97,2,3
98,2,3
99,5,5
100,4,4
101,4,5
102,3,3
103,4,3
104,2,3
105,2,2
106,2,2
107,2,2
108,2,2
109,2,2
110,2,3
111,4,4
112,2,3
113,3,4
114,2,2
115,2,3
116,2,4
117,2,3
118,2,3
119,2,4
120,2,2
121,2,2
122,2,2
123,4,4
124,2,3
125,4,3
126,2,2
127,2,2
128,2,3
129,2,3
130,2,3
131,2,3
132,2,3
133,2,3
134,2,3
135,2,2
136,2,3
137,2,3
138,2,2
139,2,2
140,2,2
141,2,3
142,2,3
143,2,3
144,2,3
145,3,3
146,4,4
147,2,2
148,2,3
149,2,3
150,3,3
151,2,3
152,4,3
153,4,4
154,2,4
155,3,4
156,2,3
157,2,3
158,2,3
159,2,3
160,2,3
161,2,3
162,2,3
163,2,3
164,2,3
165,2,3
166,2,3
167,2,3
168,2,4
169,2,3
170,4,3
171,2,3
172,2,3
173,2,3
174,4,3
175,4,3
176,4,3
177,2,2
178,2,3
179,3,3
180,4,2
181,2,2
182,2,2
183,3,3
184,4,3
185,4,3
186,4,4
187,4,4
188,4,4
189,2,3
190,2,3
191,2,4
192,2,2
193,2,3
194,3,3
195,2,3
196,2,3
197,2,4
198,2,3
199,5,4
200,4,4
201,4,4
202,3,4
203,4,4
204,2,3
205,2,3
206,2,3
207,4,4
208,2,3
209,2,3
210,2,3
211,2,3
212,2,3
213,1,2
214,2,2
215,2,2
216,2,1
217,2,2
218,2,3
219,2,2
220,2,2
221,2,2
222,4,3
223,4,3
224,4,5
225,1,3
226,2,3
227,2,3
228,3,3
229,2,3
230,2,4
231,1,3
232,2,3
233,2,4
234,2,3
235,2,4
236,2,3
237,2,3
238,2,3
239,4,3
240,4,4
241,2,3
242,4,3
243,2,3
244,3,3
245,3,5
246,4,3
247,2,3
248,2,3
249,2,3
250,2,3
251,2,4
252,2,3
253,2,3
254,4,3
255,2,3
256,2,3
257,2,3
258,2,3
259,2,3
260,3,3
261,2,3
262,2,3
263,2,3
264,2,3
265,2,4
266,2,3
267,2,3
268,3,3
269,4,4
270,2,3
271,2,3
272,2,3
273,4,5
274,4,4
275,4,5
276,2,3
277,2,4
278,2,3
279,2,3
280,2,4
281,2,4
282,2,3
283,3,3
284,3,3
285,2,3
286,4,4
287,3,4
288,2,3
289,2,3
290,2,3
291,2,2
292,4,2
293,1,2
294,1,2
295,2,3
296,1,3
297,1,2
298,2,2
299,2,3
300,2,3
301,2,4
302,4,4
303,2,3
304,2,3
305,2,3
306,2,2
307,3,4
308,2,3
309,2,2
310,2,2
311,2,3
312,2,3
313,2,3
314,2,3
315,2,2
316,2,2
317,1,3
318,2,2
319,2,3
320,2,5
321,2,2
322,2,2
323,2,2
324,2,3
325,2,4
326,2,2
327,2,2
328,2,3
329,2,3
330,3,5
331,2,4
332,2,2
333,2,3
334,2,3
335,2,3
336,2,4
337,2,3
338,2,4
339,1,2
340,2,4
341,2,2
342,2,3
343,2,3
344,2,2
345,2,4
346,2,2
347,2,3
348,2,3
349,2,4
350,2,4
351,2,3
352,1,3
353,2,3
354,2,3
355,2,2
356,2,2
357,2,4
358,2,3
359,3,4
360,2,3
361,2,3
362,2,3
363,2,3
364,2,3
365,2,3
366,2,3
367,2,3
368,2,3
369,2,2
370,2,3
371,2,3
372,4,3
373,2,3
374,2,3
375,2,4
376,2,3
377,2,3
378,2,3
379,4,4
380,2,3
381,2,3
382,2,3
383,2,3
384,2,3
385,2,3
386,2,3
387,2,4
