,Annotator 2 - Information Quality,Annotator 3 - Information Quality,Specialist - Information Quality
0,4,3,4
1,4,3,4
2,4,3,4
3,3,2,3
4,4,3,5
5,3,2,4
6,4,3,4
7,4,4,5
8,3,4,5
9,2,3,5
10,2,3,3
11,3,3,3
12,4,5,4
13,2,4,4
14,2,4,4
15,4,3,3
16,3,3,3
17,4,4,3
18,3,4,4
19,3,4,1
20,3,4,2
21,4,4,4
22,4,4,4
23,3,4,4
24,2,5,3
25,3,4,2
26,3,4,2
27,4,4,5
28,5,5,4
29,4,3,3
30,3,4,3
31,3,4,4
32,3,5,5
33,4,4,4
34,3,4,2
35,3,4,4
36,3,5,3
37,4,5,4
38,3,5,3
39,2,1,2
40,3,3,2
41,4,4,5
42,2,5,4
43,3,4,5
44,3,4,4
45,4,4,5
46,4,4,3
47,3,4,4
48,3,5,3
49,4,4,4
50,3,3,4
51,2,1,2
52,3,2,5
53,4,2,2
54,3,3,3
55,3,5,3
56,3,4,3
57,4,3,3
58,4,3,3
59,4,2,4
60,4,2,3
61,3,3,4
62,3,3,3
63,3,2,4
64,3,2,4
65,3,3,2
66,2,2,4
67,4,2,4
68,3,2,4
69,4,4,4
70,4,4,3
71,4,4,4
72,3,3,3
73,3,3,3
74,3,3,3
75,4,3,3
76,3,3,3
77,3,3,5
78,4,4,4
79,4,3,5
80,4,3,5
81,4,3,5
82,3,2,5
83,4,3,5
84,3,3,2
85,3,3,3
86,4,4,2
87,4,4,4
88,4,4,3
89,3,4,2
90,4,2,5
91,4,3,5
92,4,3,5
93,3,3,4
94,4,3,2
95,3,4,4
96,4,2,2
97,3,3,3
98,3,3,3
99,4,4,5
100,4,4,5
101,4,2,4
102,4,3,2
103,4,3,2
104,4,4,2
105,4,2,4
106,3,2,4
107,3,3,4
108,3,3,4
109,3,3,4
110,3,3,4
111,4,2,3
112,3,2,4
113,3,2,3
114,4,2,1
115,3,4,4
116,3,4,4
117,4,3,4
118,4,3,5
119,3,3,3
120,3,3,4
121,4,3,4
122,3,3,2
123,4,4,3
124,3,4,4
125,4,4,4
126,4,3,2
127,3,3,2
128,3,3,2
129,4,4,5
130,3,4,3
131,4,3,5
132,4,2,4
133,3,4,5
134,4,2,3
135,3,2,4
136,3,4,4
137,3,4,3
138,3,2,4
139,3,2,2
140,3,2,4
141,4,2,4
142,3,3,4
143,3,3,3
144,4,4,3
145,3,3,4
146,3,4,3
147,3,2,3
148,3,3,3
149,3,3,2
150,4,3,4
151,4,3,4
152,4,2,4
153,3,1,2
154,4,3,4
155,3,3,4
156,4,4,4
157,4,4,2
158,3,4,3
159,4,3,2
160,4,3,4
161,3,4,3
162,4,4,3
163,4,4,3
164,3,4,3
165,4,3,4
166,4,3,4
167,4,3,3
168,3,4,2
169,3,3,2
170,3,3,2
171,3,3,2
172,3,2,1
173,3,3,2
174,5,3,2
175,3,3,2
176,4,3,3
177,3,2,3
178,3,4,2
179,4,3,2
180,4,2,4
181,3,2,4
182,3,2,4
183,3,4,4
184,3,3,4
185,3,4,4
186,3,4,4
187,4,5,2
188,3,5,2
189,3,3,3
190,4,3,4
191,4,3,4
192,4,3,3
193,3,3,3
194,4,3,2
195,3,3,3
196,3,3,4
197,3,3,4
198,3,3,4
199,3,4,3
200,3,3,4
201,3,2,3
202,4,3,4
203,4,3,4
204,4,3,5
205,4,3,4
206,4,3,4
207,3,2,3
208,4,2,5
209,4,2,3
210,3,3,1
211,3,2,4
212,3,2,4
213,3,2,3
214,4,3,4
215,4,3,4
216,3,2,4
217,3,2,2
218,4,2,4
219,4,3,4
220,4,3,4
221,4,3,4
222,3,3,4
223,4,4,4
224,4,4,4
225,4,3,3
226,4,4,3
227,5,3,3
228,3,3,4
229,3,3,4
230,3,3,4
231,2,3,3
232,3,3,3
233,3,4,3
234,4,4,4
235,4,3,4
236,4,4,4
237,3,4,3
238,4,3,4
239,4,3,2
240,4,4,4
241,4,4,3
242,4,4,5
243,3,3,3
244,3,3,3
245,2,4,4
246,3,3,4
247,3,3,2
248,4,3,4
249,3,3,4
250,3,3,4
251,3,2,3
252,3,3,3
253,3,3,3
254,4,3,3
255,3,2,1
256,4,3,2
257,3,2,2
258,3,2,2
259,4,2,4
260,4,3,4
261,4,4,5
262,3,4,4
263,3,4,4
264,4,3,3
265,4,4,3
266,4,3,2
267,3,3,4
268,3,3,2
269,2,3,3
270,4,4,5
271,4,4,3
272,4,4,4
273,4,4,4
274,4,3,4
275,4,4,2
276,4,2,2
277,4,4,2
278,4,3,4
279,3,3,3
280,3,3,4
281,3,4,5
282,4,4,3
283,4,4,5
284,4,4,4
285,3,3,4
286,4,3,4
287,3,3,4
288,4,3,3
289,3,3,2
290,4,3,2
291,4,3,4
292,3,2,5
293,3,2,4
294,3,3,4
295,3,2,4
296,4,3,4
297,4,2,3
298,4,3,2
299,4,3,4
300,4,3,4
301,4,4,4
302,4,4,3
303,4,3,5
304,3,4,5
305,3,3,2
306,4,3,5
307,2,1,2
308,4,3,2
309,3,3,4
310,3,3,3
311,4,3,4
312,4,4,4
313,4,3,5
314,4,3,4
315,4,2,5
316,3,3,5
317,4,3,3
318,3,2,5
319,4,4,3
320,4,4,5
321,3,3,4
322,4,4,4
323,4,4,5
324,4,4,3
325,3,4,5
326,4,3,3
327,4,3,2
328,4,4,3
329,4,3,2
330,2,1,1
331,4,3,4
332,4,3,3
333,3,4,5
334,4,3,4
335,4,3,3
336,4,4,5
337,4,4,5
338,4,4,5
339,3,2,1
340,4,4,4
341,4,3,4
342,3,4,5
343,3,3,4
344,4,2,5
345,3,2,4
346,3,2,5
347,4,3,5
348,3,3,3
349,3,4,5
350,3,3,4
351,4,3,3
352,4,3,3
353,3,3,4
354,3,4,5
355,3,2,5
356,3,3,5
357,4,2,5
358,3,3,5
359,2,1,2
360,4,4,4
361,3,4,5
362,3,2,4
363,3,3,3
364,3,3,3
365,4,2,3
366,4,4,5
367,4,3,4
368,3,2,4
369,4,3,4
370,4,4,5
371,4,3,4
372,3,2,4
373,3,4,4
374,4,3,4
375,4,4,4
376,4,3,4
377,4,2,3
378,3,3,5
379,4,2,3
380,4,4,3
381,4,2,4
382,4,4,5
383,4,4,4
384,3,3,4
385,3,4,4
386,3,3,5
387,4,3,4
